inventory_key,product_id,product_name,category,brand,inventory_date,stock_received,damaged_stock,usable_stock
1,4452,Baby Wipes,Baby Care,Morar-Mistry,01-03-2023,1,0,1
2,4452,Baby Wipes,Baby Care,Morar-Mistry,01-04-2023,1,0,1
3,4452,Baby Wipes,Baby Care,Morar-Mistry,01-04-2023,1,0,1
4,4452,Baby Wipes,Baby Care,Morar-Mistry,01-05-2023,1,0,1
5,4452,Baby Wipes,Baby Care,Morar-Mistry,01-05-2023,1,0,1
6,4452,Baby Wipes,Baby Care,Morar-Mistry,01-06-2023,1,0,1
7,4452,Baby Wipes,Baby Care,Morar-Mistry,01-06-2023,1,0,1
8,4452,Baby Wipes,Baby Care,Morar-Mistry,01-07-2023,1,0,1
9,4452,Baby Wipes,Baby Care,Morar-Mistry,01-07-2023,1,0,1
10,4452,Baby Wipes,Baby Care,Morar-Mistry,01-08-2023,1,0,1
11,4452,Baby Wipes,Baby Care,Morar-Mistry,01-08-2023,1,0,1
12,4452,Baby Wipes,Baby Care,Morar-Mistry,01-09-2023,1,0,1
13,4452,Baby Wipes,Baby Care,Morar-Mistry,01-09-2023,1,0,1
14,4452,Baby Wipes,Baby Care,Morar-Mistry,01-10-2023,1,0,1
15,4452,Baby Wipes,Baby Care,Morar-Mistry,01-10-2023,1,1,0
16,4452,Baby Wipes,Baby Care,Morar-Mistry,01-11-2023,1,0,1
17,4452,Baby Wipes,Baby Care,Morar-Mistry,01-11-2023,3,0,3
18,4452,Baby Wipes,Baby Care,Morar-Mistry,01-12-2023,3,0,3
19,4452,Baby Wipes,Baby Care,Morar-Mistry,01-12-2023,3,0,3
20,4452,Baby Wipes,Baby Care,Morar-Mistry,01-01-2024,3,1,2
21,4452,Baby Wipes,Baby Care,Morar-Mistry,01-01-2024,3,0,3
22,4452,Baby Wipes,Baby Care,Morar-Mistry,01-02-2024,3,0,3
23,4452,Baby Wipes,Baby Care,Morar-Mistry,01-02-2024,3,0,3
24,4452,Baby Wipes,Baby Care,Morar-Mistry,01-03-2024,1,0,1
25,4452,Baby Wipes,Baby Care,Morar-Mistry,01-03-2024,1,1,0
26,4452,Baby Wipes,Baby Care,Morar-Mistry,01-04-2024,1,0,1
27,4452,Baby Wipes,Baby Care,Morar-Mistry,01-04-2024,1,0,1
28,4452,Baby Wipes,Baby Care,Morar-Mistry,01-05-2024,1,1,0
29,4452,Baby Wipes,Baby Care,Morar-Mistry,01-05-2024,1,0,1
30,4452,Baby Wipes,Baby Care,Morar-Mistry,01-06-2024,1,0,1
31,4452,Baby Wipes,Baby Care,Morar-Mistry,01-06-2024,1,0,1
32,4452,Baby Wipes,Baby Care,Morar-Mistry,01-07-2024,1,0,1
33,4452,Baby Wipes,Baby Care,Morar-Mistry,01-07-2024,1,0,1
34,4452,Baby Wipes,Baby Care,Morar-Mistry,01-08-2024,1,0,1
35,4452,Baby Wipes,Baby Care,Morar-Mistry,01-08-2024,1,0,1
36,4452,Baby Wipes,Baby Care,Morar-Mistry,01-09-2024,3,0,3
37,4452,Baby Wipes,Baby Care,Morar-Mistry,01-09-2024,3,0,3
38,4452,Baby Wipes,Baby Care,Morar-Mistry,01-10-2024,3,0,3
39,4452,Baby Wipes,Baby Care,Morar-Mistry,01-10-2024,3,0,3
40,4452,Baby Wipes,Baby Care,Morar-Mistry,01-11-2024,3,0,3
41,6405,Baby Food,Baby Care,Kashyap-Reddy,01-11-2024,3,0,3
42,6405,Baby Food,Baby Care,Kashyap-Reddy,01-11-2024,1,0,1
43,6405,Baby Food,Baby Care,Kashyap-Reddy,01-10-2024,3,0,3
44,6405,Baby Food,Baby Care,Kashyap-Reddy,01-10-2024,3,0,3
45,6405,Baby Food,Baby Care,Kashyap-Reddy,01-09-2024,3,0,3
46,6405,Baby Food,Baby Care,Kashyap-Reddy,01-09-2024,1,0,1
47,6405,Baby Food,Baby Care,Kashyap-Reddy,01-09-2024,1,0,1
48,6405,Baby Food,Baby Care,Kashyap-Reddy,01-09-2024,3,0,3
49,6405,Baby Food,Baby Care,Kashyap-Reddy,01-08-2024,1,0,1
50,6405,Baby Food,Baby Care,Kashyap-Reddy,01-07-2024,1,0,1
51,6405,Baby Food,Baby Care,Kashyap-Reddy,01-08-2024,1,0,1
52,6405,Baby Food,Baby Care,Kashyap-Reddy,01-07-2024,1,0,1
